place_origin,place_dest,route_prob_fix_origin,haversine_miles
Dover,Turin,0.365079365,511.7119881
Turin,Genoa,0.172362556,75.7939505
Genoa,Leghorn,0.211453744,90.74320246
Leghorn,Pisa,0.197033898,11.78537984
Pisa,Florence,0.300884956,42.68334025
Florence,Perugia,0.009467456,72.9074705
Perugia,Narni,0.037037037,41.57094987
Narni,Rome,0.266666667,43.20255068
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Siena,0.01523742,114.5740732
Siena,Florence,0.187739464,31.54305131
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Vicenza,0.020265004,38.0752164
Vicenza,Verona,0.517985612,27.85186288
Verona,London,0.0875,658.615531
England,Verona,0.017751479,658.6253167
Verona,Vicenza,0.084375,27.85186288
Vicenza,Padua,0.230215827,18.71091765
Padua,Venice,0.333333333,21.46928948
Venice,Padua,0.155884645,21.46928948
Padua,Ferrara,0.022357724,41.23116092
Ferrara,Bologna,0.224719101,26.69229654
Bologna,Florence,0.2928,50.87901401
Florence,Siena,0.070414201,31.54305131
Siena,Viterbo,0.068965517,73.4339898
Viterbo,Rome,0.5,41.21055161
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Civita Castellana,0.001417434,27.59324781
Civita Castellana,Terni,0.75,22.6319384
Terni,Florence,0.153846154,108.9813296
Florence,Pisa,0.050295858,42.68334025
Pisa,Leghorn,0.244837758,11.78537984
Leghorn,Modena,0.004237288,81.64943608
Modena,Parma,0.176100629,31.19027999
Parma,Piacenza,0.096296296,35.55886907
Piacenza,Novi,0.029850746,48.6731008
Novi,Genoa,0.9,25.59205056
Genoa,Turin,0.147577093,75.7939505
Turin,Milan,0.200594354,77.33653397
Milan,Harwich,0.004237288,574.1312623
England,Verona,0.017751479,658.6253167
Verona,Vicenza,0.084375,27.85186288
Vicenza,Padua,0.230215827,18.71091765
Padua,Venice,0.333333333,21.46928948
