place,coordinates,popularity
Turin,"45.06666667,7.7",0.031028726
Genoa,"44.40718611,8.933983333",0.023199586
Leghorn,"43.55,10.31666667",0.024869035
Pisa,"43.70853,10.4036",0.019054746
Florence,"43.77138889,11.25416667",0.087789995
Perugia,"43.1121,12.3888",0.003108629
Narni,"42.517799,12.51640034",0.000863508
Rome,"41.89305556,12.48277778",0.144666398
Naples,"40.840141,14.25226021",0.110701744
Siena,"43.31833333,11.33138889",0.014679638
Bologna,"44.504822,11.34517956",0.035403834
Venice,"45.43811,12.31814957",0.066720396
Vicenza,"45.54672,11.5475",0.008001842
Verona,"45.43815833,10.99374167",0.017615566
London,"51.50853,-0.12574",0.007829141
Padua,"45.40638889,11.87777778",0.024926602
Ferrara,"44.8381237,11.619787",0.005123482
Viterbo,"42.4206766,12.107669",0.002935928
Civita Castellana,"42.2891482,12.4143169",0.000230269
Terni,"42.56666667,12.65",0.002245121
Modena,"44.64783,10.92539",0.009095619
Parma,"44.80147222,10.328",0.015312878
Piacenza,"45.05242,9.69342",0.003857003
Novi,"44.76246,8.787",0.000575672
Milan,"45.4654219,9.1859243",0.026020379
Harwich,"51.93527778,1.2625",0.001381613
Geneva,"46.20222,6.14569",0.003338898
Palermo,"38.115658,13.361262",0.001899718
Baiae,"40.817558,14.07110977",0.000633239
Trento,"46.06787,11.12108",0.000518105
England,"51.50722222,-0.1275",0.020263658
Pola,"44.865791,13.84943962",0.000575672
Benevento,"41.1297613,14.7826208",0.000287836
Pompeii,"40.750556,14.489722",0.002360256
Capri,"40.55073,14.24263",0.002014852
Paestum,"40.42,15.00555556",0.003799436
Cumae,"40.848611,14.053611",0.000230269
Solfatara,"40.82758,14.1394",0.000115134
Posillipo,"40.81139,14.20172977",0.001093777
Caserta,"41.07262,14.33231",0.000518105
Herculaneum,"40.80569,14.34799",0.002187554
Portici,"40.81563,14.33716",0.001784584
Caprarola,"42.3272312,12.2387494",0.000287836
Spoleto,"42.73333333,12.73333333",0.001842151
Rimini,"44.05755,12.56528",0.00287836
Ravenna,"44.4183598,12.2035294",0.002129987
Sora,"41.7188539,13.6130491",0.000115134
Albano,"41.728534,12.658854",0.000921075
Frascati,"41.8091,12.67942",0.001093777
Spalato,"43.506969,16.44207001",0.000172702
Pavia,"45.18528056,9.155",0.001324046
San Marino,"43.93333333,12.46666667",0.000115134
Loreto,"43.4396423,13.6065668",0.007080767
Lucca,"43.84198,10.51531029",0.009671291
Constantinople,"41.01384,28.94966",0.001093777
Smyrna,"38.418611,27.139167",0.000115134
Edinburgh,"55.9543,-3.20188999",0.000115134
Ireland,"53.3425,-6.265833333",0.000345403
Pistoia,"43.93333333,10.91666667",0.000978643
Cremona,"45.133249,10.0226511",0.001611882
Messina,"38.18333333,15.55",0.000287836
Lausanne,"46.5196,6.632219791",0.001093777
Marseilles,"43.29666667,5.376388889",0.000863508
Brindisi,"40.6327278,17.9417616",0.000287836
Capua,"41.10555556,14.21388889",0.008174544
Spa,"50.49115,5.8635602",0.000805941
Sicily,"38.18333333,15.55",0.006965632
Malta,"35.890556,14.43953609",0.00287836
Tropea,"38.6769938,15.8972233",0.000172702
Calabria,"39.293129,16.25702095",0.000575672
Foligno,"42.95611111,12.70333333",0.001266479
Mantua,"45.1564168,10.7913751",0.007598872
Cologne,"50.93333,6.95",0.000230269
Civitavecchia,"42.0924239,11.7954132",0.000575672
Switzerland,"46.94798,7.44743",0.003741869
Munich,"48.13743,11.57549",0.000805941
southern Italy,"40.35481,18.17244",0.000115134
Ischia,"40.742809,13.94301987",0.00207242
Veneto,"45.67146,11.92755",0.000115134
Heidelburg,"49.40768,8.69079",0.000115134
Mannheim,"49.488889,8.469167",0.000115134
Tuscany,"43.7710513,11.2486208",0.000575672
Germany,"48.13743,11.57549",0.002360256
Brescia,"45.536591,10.23204041",0.001842151
France,"48.85657778,2.351827778",0.001093777
Ancona,"43.61666667,13.51666667",0.003741869
Portsmouth,"50.79899,-1.09125",0.000345403
Vienna,"48.20849,16.37208",0.004259974
Berlin,"52.516041,13.37691021",0.00040297
Reggio Emilia,"44.69825,10.63125",0.00287836
Lerici,"44.0756332,9.9169337",0.001957285
Bolzano,"46.495281,11.35346031",0.000345403
Augsburg,"48.370338,10.8978796",0.000518105
Strasbourg,"48.585041,7.736420155",5.75672E-05
Salerno,"40.673481,14.77124977",0.000748374
Viareggio,"43.86693,10.2502",0.000345403
Radicofani,"42.89553,11.77005",0.000460538
Vallombrosa,"43.732201,11.55751896",0.00040297
Lisbon,"38.726391,-9.14947987",0.000460538
Egypt,"30.049919,31.24860001",0.000345403
Vesuvius,"40.82293,14.42874",0.00247539
Pozzuoli,"40.84394,14.0952",0.000575672
Cuma,"40.848611,14.053611",0.000115134
Arco Felice,"40.84527778,14.07194444",0.000115134
Nice,"43.70313,7.26608",0.00143918
Pesaro,"43.91015,12.9133",0.000690807
